seed,relation,control,relation_or_control,condition,shell,method,baseline,metric,baseline_value,method_value,delta,delta_mean,ci_low,ci_high,seed_win_rate,n_seeds
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,spearman,0.7520371726789965,0.7592588353781359,0.007221662699139375,-0.25149855223402307,-0.5114759416201244,-0.048947937648782226,0.25,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,precision_at_top,0.3846153846153846,0.5384615384615384,0.15384615384615385,-0.13461538461538464,-0.2884615384615385,6.938893903907228e-18,0.125,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,mean_negative_log_likelihood,-0.9648859941995994,-0.8197895935799694,0.14509640061963003,3.139743681904607,0.2968309515277065,6.147283853541358,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,0.7,dual,target_only,interval_coverage_95,0.9140625,0.828125,-0.0859375,-0.1806640625,-0.3193359375,-0.0576171875,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,pairwise_accuracy,0.7781742125984252,0.7198572834645669,-0.05831692913385833,-0.12423105314960628,-0.18245993786909448,-0.07420183316929134,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,ndcg_at_top,0.9267605770216696,0.6329060147477642,-0.2938545622739054,-0.2182896641501502,-0.29567359856734554,-0.14115447238836595,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,normalized_top1_regret,0.0412963205151797,0.3093364346265972,-0.2680401141114175,-0.338066625054285,-0.5484680207577057,-0.19435192469754745,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,standardized_rmse,0.65189490336793,0.9608044654714112,-0.3089095621034812,-0.5011291604735512,-0.7149772478124204,-0.32018833531360424,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,spearman,0.7771069859000183,0.6460526918146859,-0.1310542940853323,-0.2914694824665812,-0.44748350519593477,-0.15794415085378144,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,precision_at_top,0.5384615384615384,0.0,-0.5384615384615384,-0.298076923076923,-0.423076923076923,-0.17307692307692307,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,mean_negative_log_likelihood,0.3195221729126422,0.3014846716511222,-0.018037501261519984,2.766943828336998,-0.06735768634726598,6.40118818061585,0.375,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,rank,geometry,interval_coverage_95,0.46875,0.7109375,0.2421875,0.0087890625,-0.1562744140625,0.15529785156249987,0.625,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,value,geometry,pairwise_accuracy,0.7781742125984252,0.733636811023622,-0.04453740157480324,-0.12979822834645668,-0.19301065760334649,-0.07264202448326776,0.0,8
11,identity,identity_label_permutation,identity_label_permutation,identity_label_permutation,1.0,value,geometry,ndcg_at_top,0.9267605770216696,0.7224617751106824,-0.20429880191098715,-0.2052421231217833,-0.2882333734949227,-0.12898992301270895,0.0,8
